@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162... numeric
@attribute -0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98... numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26... numeric
@attribute 0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128... numeric
@attribute Class {-1,1}

@data
7.780721,2.303338,2.430398,0.826751,0.070513,1
-2.086877,1.687096,0.95078,3.701574,5.671983,-1
1.029636,1.165992,-4.004789,-0.287073,0.396853,1
8.15807,3.566283,2.45571,-0.574707,5.444897,1
-1.186885,2.958659,-0.503772,-1.066044,1.267628,1
4.237916,2.602327,-0.649019,0.014507,-1.064682,1
-8.019237,-1.183348,-0.521142,-1.472671,-3.642743,1
-10.326497,-0.78138,-0.302371,2.11298,3.080322,-1
11.483264,-1.897229,-1.215117,1.161027,0.684961,1
-3.24907,1.608793,-0.566674,-2.602552,0.491469,1
-6.359749,-2.023042,4.542191,-3.741908,-0.377714,-1
2.815475,2.746596,-0.16884,-3.050812,-0.121697,1
6.853854,2.395586,-2.651594,-1.661168,-0.678385,1
2.936112,1.401862,0.706166,-1.890541,-2.248453,1
9.314053,1.548356,-0.791246,0.711078,-0.541828,1
-7.174359,-0.97571,-3.17246,2.956461,2.307214,1
8.578492,1.046992,-1.450475,-0.979988,0.886653,1
-7.066539,3.347348,-0.391092,0.703884,2.102148,-1
7.829206,-2.197098,0.457116,-0.726124,0.535367,1
-1.884046,4.069763,-1.752832,-1.119149,-2.178855,-1
3.104731,2.780534,-2.221052,-3.185274,-1.502816,1
3.409432,-1.699103,3.306171,5.137411,0.028986,-1
